Title,Author,Year Published,Average GoodReads Rating,Number of Pages
The Wild Edge of Sorrow: Rituals of Renewal and the Sacred Work of Grief,Francis Weller,2015,4.36,224
One More Thing: Stories and Other Stories,B.J. Novak,2014,3.66,288
The Omnivore's Dilemma: The Secrets Behind What You Eat,Richie Chevat,2015,4.03,6
The Power of Writing It Down: A Simple Habit to Unlock Your Brain and Reimagine Your Life,Allison Fallon,2021,3.81,224
Once Upon a Tome: The Misadventures of a Rare Bookseller,Oliver Darkshire,2023,3.95,244
Rental Person Who Does Nothing,Shoji Morimoto,2023,3.3,160
No One Tells You This,Glynnis MacNicol,2018,3.91,294
"Polysecure: Attachment, Trauma and Consensual Nonmonogamy",Jessica Fern,2020,4.35,268
The Mind of a Bee,Lars Chittka,2022,4.11,272
Renegade: Defending Democracy and Liberty in Our Divided Country,Adam Kinzinger,2023,4.15,316
Shrill: Notes from a Loud Woman,Lindy West,2016,4.16,260
"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""",Lena Dunham,2014,3.29,265
We Should Get Together: The Secret to Cultivating Better Friendships,Kat Vellos,2020,3.85,310
The Nine Lives of Rose Napolitano,Donna Freitas,2021,3.68,384
You Don't Have to Carry It All: Ditch the Mom Guilt and Find a Better Way Forward,Paula Faris,2023,3.8,256
Hidden Potential: The Science of Achieving Greater Things,Adam M. Grant,2023,4.1,304
"The Possibility of Life: Science, Imagination and Our Quest for Kinship in the Cosmos",Jaime Green,2023,3.97,288
How to Stay Married: The Most Insane Love Story Ever Told,Harrison Scott Key,2023,4.04,320
"Sure, I'll Join Your Cult: A Memoir of Mental Illness and the Quest to Belong Anywhere",Maria Bamford,2023,3.71,287
Softwar: A Novel Theory on Power Projection and the National Strategic Significance of Bitcoin,Jason Paul Lowery,2023,4.3,365
Capitalist Punishment: How Wall Street Is Using Your Money to Create a Country You Didn't Vote For,Vivek Ramaswamy,2023,4.04,236
This Might Be Too Personal,Alyssa Shelasky,2022,3.9,256
Sorry Not Sorry,Alyssa Milano,2021,3.19,272
"Somewhere Sisters: A Story of Adoption, Identity, and the Meaning of Family",Erika Hayasaki,2022,3.9,320
"What Really Happens in Vegas: True Stories of the People Who Make Vegas, Vegas",James  Patterson,2023,3.76,345
The Art of Public Speaking: Lessons From the Greatest Speeches in History,John R. Hale,2010,3.86,186
The Lessons of History,Will Durant,1997,4.05,119
The Boys in the Boat: The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics,Gregory Mone,2015,4.44,227
"There Is No Good Card for This: What To Say and Do When Life Is Scary, Awful, and Unfair to People You Love",Kelsey Crowe,2017,4.19,272
"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,2021,3.83,307
Paris: A Memoir for Young Women in the Age of Influencers,Paris Hilton,2023,4.21,336
"Love, Pamela",Pamela Anderson,2023,3.82,256
Have I Told You This Already?: Stories I Don’t Want to Forget to Remember,Lauren Graham,2022,3.67,186
Managing Oneself (Harvard Business Review Classics),Peter F. Drucker,2008,3.98,72
The Great Experiment: Why Diverse Democracies Fall Apart and How They Can Endure,Yascha Mounk,2022,3.71,368
"How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between",Bent Flyvbjerg,2023,4.28,304
If You Would Have Told Me,John Stamos,2023,3.8,333
An Invisible Thread,Laura Schroff,2011,4.07,260
What We Talk About When We Talk About Love,Raymond Carver,1989,4,159
They Called Us Exceptional: And Other Lies That Raised Us,Prachi   Gupta,2023,4.34,288
The Woman in Me,Britney Spears,2023,3.83,288
"Politics Is for Power: How to Move Beyond Political Hobbyism, Take Action, and Make Real Change",Eitan D. Hersh,2020,4.08,288
Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,2023,4.46,288
Pageboy,Elliot Page,2023,3.73,271
The Essential Rumi,Coleman Barks,2004,4.39,416
Built to Move: The Ten Essential Habits to Help You Move Freely and Live Fully,Kelly Starrett,2023,4.23,336
Except for Palestine: The Limits of Progressive Politics,Marc Lamont Hill,2021,4.19,227
I'm Glad My Mom Died,Jennette McCurdy,2022,4.43,320
Stranger Care,Sarah Sentilles,2021,4.24,400
"Stress Less, Accomplish More: The 15-Minute Meditation Programme for Extraordinary Performance",Emily Fletcher,2019,3.82,272
"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",Nedra Glover Tawwab,2021,4.24,282
Crying in the Bathroom,Erika L. Sánchez,2022,3.96,256
Love Warrior,Glennon Doyle Melton,2016,4.07,272
The All-or-Nothing Marriage: How the Best Marriages Work,Eli J. Finkel,2017,3.58,352
Women Without Kids: The Revolutionary Rise of an Unsung Sisterhood,Ruby Warrington,2023,3.8,225
Screaming on the Inside: The Unsustainability of American Motherhood,Jessica Grose,2022,3.47,240
Screamfree Parenting: The Revolutionary Approach to Raising Your Kids by Keeping Your Cool,Hal Edward Runkel,2007,3.97,240
Ten Ways Not to Commit Suicide: A Memoir,Darryl McDaniels,2016,3.68,225
Finding and Keeping the Love You Want,Harville Hendrix,2011,3.98,
The Debt Trap: How Student Loans Became a National Catastrophe,Josh  Mitchell,2021,4.22,272
Primates of Park Avenue,Wednesday Martin,2015,3.17,248
Real Queer America: LGBT Stories from Red States,Samantha  Allen,2019,4.07,269
Monsters: A Fan's Dilemma,Claire Dederer,2023,3.68,257
The Hormone Reset Diet: Heal Your Metabolism to Lose Up to 15 Pounds in 21 Days,Sara Gottfried,2015,3.57,336
Butts: A Backstory,Heather Radke,2022,3.73,311
"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It",Ethan Kross,2021,3.96,272
The Cult of Smart: How Our Broken Education System Perpetuates Social Injustice,Fredrik deBoer,2020,3.54,0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Erin McHugh,2016,3.56,256
One Friday in April: A Story of Suicide and Survival,Donald Antrim,2021,3.79,144
Recovery of Your Inner Child: The Highly Acclaimed Method for Liberating Your Inner Self,Lucia Capacchione,1991,3.93,288
Seven Practices of a Mindful Leader: Lessons from Google and a Zen Monastery Kitchen,Marc Lesser,2019,3.77,224
Fail Until You Don't,Bobby Bones,2018,4.01,224
Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,2022,4.03,272
Paper Towns,John Green,2009,3.7,305
The Fish That Ate the Whale: The Life and Times of America's Banana King,Rich Cohen,2012,4.11,288
"How Women Rise: Break the 12 Habits Holding You Back from Your Next Raise, Promotion, or Job",Sally Helgesen,2018,4.08,256
The Dorito Effect: The Surprising New Truth About Food and Flavor,Mark Schatzker,2015,4.01,259
Excellent Advice for Living: Wisdom I Wish I'd Known Earlier,Kevin Kelly,2023,4.22,224
"A Hacker's Mind: How the Powerful Bend Society's Rules, and How to Bend them Back",Bruce Schneier,2023,3.68,304
"Living with the Monks: What Turning Off My Phone Taught Me about Happiness, Gratitude, and Focus",Jesse Itzler,2018,3.84,304
When Strangers Meet: How People You Don't Know Can Transform You (TED Books),Kio Stark,2016,3.33,129
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,2010,4.13,304
Just Listen: Discover the Secret to Getting Through to Absolutely Anyone,Mark Goulston,2009,4.06,234
"Alone Time: Four Seasons, Four Cities, and the Pleasures of Solitude",Stephanie Rosenbloom,2018,3.47,272
Modern Loss: Candid Conversation About Grief. Beginners Welcome.,Rebecca Soffer,2024,4.15,376
The Fault in Our Stars,John Green,2012,4.12,313
What Looks Like Bravery: An Epic Journey Through Loss to Love,Laurel Braitman,2023,4.41,288
How To: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,2019,4.17,308
An Abundance of Katherines,John Green,2006,3.51,229
"Code Name: Hacker (Jameson Force Security, #4)",Sawyer Bennett,2020,4.19,298
"South of the Border, West of the Sun",Haruki Murakami,2006,3.85,190
The Genius Zone: The Breakthrough Process to End Negative Thinking and Live in True Creativity,Gay Hendricks,2021,3.7,178
"Self-Care for Adult Children of Emotionally Immature Parents: Honor Your Emotions, Nurture Your Self & Live with Confidence",Lindsay C. Gibson,2021,3.78,248
Brave Enough to Be Broken: How to Embrace Your Pain and Discover Hope and Healing,Toni Collier,2022,4.26,240
The Song of Significance: A New Manifesto for Teams,Seth Godin,2023,3.83,204
Devil Take the Hindmost: A History of Financial Speculation,Edward Chancellor,2000,3.99,400
The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,Culadasa (John Charles Yates),2015,4.26,504
"Thinking, Fast and Slow",Daniel Kahneman,2011,4.17,499
Betting on You: How to Put Yourself First and (Finally) Take Control of Your Career,Laurie Ruettimann,2021,3.88,240
The World Deserves My Children,Natasha Leggero,2022,3.7,240
Trump on the Couch: Inside the Mind of the President,Justin A. Frank,2018,3.86,303
The Age of Turbulence,Alan Greenspan,2007,3.65,575
The Economics of Inequality,Thomas Piketty,2015,3.65,160
How to Write One Song: Loving the Things We Create and How They Love Us Back,Jeff Tweedy,2020,4.22,176
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,2018,3.9,409
Americanah,Chimamanda Ngozi Adichie,2013,4.31,477
Words Without Music: A Memoir,Philip Glass,2016,4.13,432
The Autobiography of Eleanor Roosevelt,Eleanor Roosevelt,2000,3.93,454
"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety",Eric Schlosser,2013,4.27,656
Kurashi at Home: How to Organize Your Space and Achieve Your Ideal Life,Marie Kondō,2022,3.64,224
The End of the World Is Just the Beginning: Mapping the Collapse of Globalization,Peter Zeihan,2022,4.16,512
Disunited Nations: Succeeding in a World Where No One Gets Along,Peter Zeihan,2019,4.24,256
The Plot to Hack America: How Putin's Cyberspies and WikiLeaks Tried to Steal the 2016 Election,Malcolm W. Nance,2016,4.08,240
The Immortality Key: Uncovering the Secret History of the Religion with No Name,Brian C. Muraresku,2020,4.24,352
Compromised: Counterintelligence and the Threat of Donald J. Trump,Peter Strzok,2020,4.36,384
How to Blow Up a Pipeline,Andreas Malm,2021,3.94,208
A Generation of Sociopaths: How the Baby Boomers Betrayed America,Bruce Cannon Gibney,2017,3.55,430
"Moby-Dick or, The Whale",Herman Melville,2003,3.57,720
The Delusions Of Crowds: Why People Go Mad in Groups,William J. Bernstein,2021,3.59,576
An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,2022,4.46,464
How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,2015,4.41,576
"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",Gabor Maté,2022,4.3,576
"Beaten Down, Worked Up: The Past, Present, and Future of American Labor",Steven Greenhouse,2019,4.18,416
"Unthinkable: Trauma, Truth, and the Trials of American Democracy",Jamie Raskin,2022,4.5,428
The January 6th Report,Select Committee to Investigate the January 6th Attack on the United States Capitol,2022,4.47,1388
Outlive: The Science & Art of Longevity,Peter Attia,2023,4.31,496
"What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #2)",Randall Munroe,2022,4.37,354
I'll Show Myself Out: Essays on Midlife and Motherhood,Jessi Klein,2022,3.89,288
Oil!,Upton Sinclair,1997,3.74,528
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,2001,3.85,544
The Success Principles: How to Get from Where You Are to Where You Want to Be,Jack Canfield,2006,4.26,512
We Were Dreamers: An Immigrant Superhero Origin Story,Simu Liu,2022,4.33,320
Eat & Run: My Unlikely Journey to Ultramarathon Greatness,Scott Jurek,2012,4.03,272
The Wind-Up Bird Chronicle,Haruki Murakami,1997,4.14,607
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,2010,4.34,472
Money Master the Game: 7 Simple Steps to Financial Freedom,Anthony Robbins,2014,4,688
This Is How They Tell Me the World Ends: The Cyberweapons Arms Race,Nicole Perlroth,2021,4.31,528
Audition: A Memoir,Barbara  Walters,2008,3.79,613
Slouching Towards Utopia: An Economic History of the Twentieth Century,J. Bradford DeLong,2022,3.92,624
Led Zeppelin: The Biography,Bob Spitz,2021,4.1,688
"Time for Socialism: Dispatches from a World on Fire, 2016–2021",Thomas Piketty,2021,3.44,360
You'll Grow Out of It,Jessi Klein,2016,3.79,291
Demagogue: The Life and Long Shadow of Senator Joe McCarthy,Larry Tye,2020,3.97,597
"White Man's Justice, Black Man's Grief",Donald Goines,2000,4.31,
"The History of Magic: From Alchemy to Witchcraft, from the Ice Age to the Present",Chris Gosden,2020,3.59,492
The Overstory,Richard Powers,2019,4.11,502
The 33 Strategies of War,Robert Greene,2025,4.23,496
The Man Who Ran Washington: The Life and Times of James A. Baker III,Peter Baker,2020,4.44,688
The Long Game: How to Be a Long-Term Thinker in a Short-Term World,Dorie Clark,2021,3.68,239
East of Eden,John Steinbeck,2002,4.44,601
You Can't Spell America Without Me: The Really Tremendous Inside Story of My Fantastic First Year as President Donald J. Trump,Alec Baldwin,2017,3.14,288
The Dawn of Everything: A New History of Humanity,David Graeber,2021,4.19,692
"Chaos: Charles Manson, the CIA, and the Secret History of the Sixties",Tom O'Neill,2019,4.04,504
Anna Karenina,Leo Tolstoy,2012,4.1,964
After the Ivory Tower Falls: How College Broke the American Dream and Blew Up Our Politics—and How to Fix It,Will Bunch,2022,3.95,320
"The Narrow Corridor: States, Societies, and the Fate of Liberty",Daron Acemoğlu,2019,4.22,560
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,1999,4.03,564
Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,2018,3.89,179
The Luckiest Man: Life with John McCain,Mark Salter,2020,4.28,608
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,2021,4.54,535
The Goldfinch,Donna Tartt,2013,3.96,771
The Paper Menagerie and Other Stories,Ken Liu,2016,4.35,450
Liberalism and Its Discontents,Francis Fukuyama,2022,3.9,178
Zen in the Age of Anxiety,Tim Burkett,2018,3.63,160
Leonardo da Vinci,Walter Isaacson,2017,4.18,600
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,2004,4.15,832
A Promised Land,Barack Obama,2020,4.31,701
Alexander Hamilton,Ron Chernow,2005,4.22,818
A Sacred Oath: Memoirs of a Secretary of Defense During Extraordinary Times,Mark T. Esper,2022,3.88,752
"His Very Best: Jimmy Carter, a Life",Jonathan Alter,2020,4.35,800
"Seen, Loved and Heard: A Guided Journal for Feeding the Soul – Uplifting Writing Prompts for Healing, Hope, and Self-Love (A Feeding the Soul Book)",Tabitha  Brown,2023,4.44,192
Cryptonomicon,Neal Stephenson,2002,4.23,1152
Bernie Sanders Guide to Political Revolution,Bernie Sanders,2017,3.99,226
Hits and Misses: Stories,Simon Rich,2018,3.88,240
President Carter: The White House Years,Stuart E. Eizenstat,2018,4,999
Textbook Amy Krouse Rosenthal: Not Exactly a Memoir,Amy Krouse Rosenthal,2016,4.16,336
Kissinger: A Biography,Walter Isaacson,2005,4.01,896
Blue Nights,Joan Didion,2011,3.95,208
The Year of Magical Thinking,Joan Didion,2007,3.93,227
Capital and Ideology,Thomas Piketty,2020,4.28,1104
Infinite Jest,David Foster Wallace,2005,4.25,1088
The Joy Luck Club,Amy Tan,2006,3.97,288
Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,2021,4.27,576
The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson,1999,4.18,448
The Palace Papers: Inside the House of Windsor - the Truth and the Turmoil,Tina  Brown,2022,4.03,571
Will,Will  Smith,2021,4.24,418
"Valley of Genius: The Uncensored History of Silicon Valley (As Told by the Hackers, Founders, and Freaks Who Made It Boom)",Adam  Fisher,2018,4.08,512
Mr. Putin: Operative in the Kremlin,Fiona  Hill,2012,4.24,273
Come Fly the World: The Jet-Age Story of the Women of Pan Am,Julia  Cooke,2021,3.65,288
You Got Anything Stronger?,Gabrielle Union,2021,4.11,242
We're Going to Need More Wine,Gabrielle Union,2017,4.19,272
"Public Speaking for Success: The Complete Program, Revised and Updated",Dale Carnegie,2006,3.98,464
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,2014,4.35,464
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,1996,3.97,383
The Making of Asian America: A History,Erika  Lee,2015,4.32,528
Rise: A Pop History of Asian America from the Nineties to Now,Jeff Yang,2022,4.37,496
"A Radical Awakening: Turn Pain into Power, Embrace Your Truth, Live Free",Shefali Tsabary,2021,4.06,384
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,2001,4.26,509
"American Oligarchs: The Kushners, the Trumps, and the Marriage of Money and Power",Andrea Bernstein,2020,4.22,496
First: Sandra Day O'Connor,Evan Thomas,2019,4.24,496
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,2014,4.14,303
Yes Please,Amy Poehler,2014,3.85,329
How to Keep House While Drowning,K.C.  Davis,2022,4.2,151
"Girl Walks into a Bar . . .: Comedy Calamities, Dating Disasters, and a Midlife Miracle",Rachel Dratch,2012,3.63,248
The Kite Runner,Khaled Hosseini,2004,4.36,371
Why Not Me?,Mindy Kaling,2016,3.9,240
It’s Better Than It Looks: Reasons for Optimism in an Age of Fear,Gregg Easterbrook,2018,3.82,352
Supreme Inequality: The Supreme Court's Fifty-Year Battle for a More Unjust America,Adam Cohen,2020,4.32,448
"Imperfect Union: How Jessie and John Frémont Mapped the West, Invented Celebrity, and Helped Cause the Civil War",Steve Inskeep,2020,3.87,449
Becoming Supernatural: How Common People are Doing the Uncommon,Joe Dispenza,2017,4.24,375
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,2012,4.19,419
The Upswing: How America Came Together a Century Ago and How We Can Do It Again,Robert D. Putnam,2020,3.94,464
Ladyparts,Deborah Copaken,2021,4.09,460
"The Daily Show (The Audiobook): An Oral History as Told by Jon Stewart, the Correspondents, Staff and Guests",Chris    Smith,2016,4.14,16
"We Should All Be Millionaires: A Woman’s Guide to Earning More, Building Wealth, and Gaining Economic Power",Rachel Rodgers,2021,4.18,288
A Brief History of Equality,Thomas Piketty,2022,3.97,288
Daring to Drive: A Saudi Woman's Awakening,Manal Al-Sharif,2013,4.33,289
Furious Cool: Richard Pryor and the World That Made Him,David  Henry,2013,3.77,297
"Do It Scared: Finding the Courage to Face Your Fears, Overcome Adversity, and Create a Life You Love",Ruth Soukup,2019,3.88,240
"The Book of Joan: Tales of Mirth, Mischief, and Manipulation",Melissa Rivers,2015,3.7,304
"The Club: Johnson, Boswell, and the Friends Who Shaped an Age",Leo Damrosch,2019,3.92,488
Spare,Prince Harry,2023,3.83,410
Happy-Go-Lucky,David Sedaris,2022,4.16,272
Feeling Good: The New Mood Therapy,David D. Burns,2008,4.06,736
The Way We Eat Now: Strategies for Eating in a World of Change,Bee Wilson,2019,4.05,401
Nuclear Folly: A History of the Cuban Missile Crisis,Serhii Plokhy,2021,4.24,444
"The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too)",Gretchen Rubin,2017,3.83,7
A Short History of Nearly Everything,Bill Bryson,2004,4.22,544
"The Future Is Faster Than You Think: How Converging Technologies Are Transforming Business, Industries, and Our Lives",Peter H. Diamandis,2020,4.13,384
"Status and Culture: How Our Desire for Social Rank Creates Taste, Identity, Art, Fashion, and Constant Change",W. David Marx,2022,3.89,368
Blood and Oil: Mohammed bin Salman's Ruthless Quest for Global Power,Bradley Hope,2020,4.24,368
Believer: My Forty Years in Politics,David Axelrod,2015,4.16,528
In the President's Secret Service: Behind the Scenes with Agents in the Line of Fire and the Presidents They Protect,Ronald Kessler,2009,3.41,288
"Parable of the Talents (Earthseed, #2)",Octavia E. Butler,2001,4.32,448
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,2020,4.28,242
The Future: Six Drivers of Global Change,Al Gore,2013,3.82,592
Find Your People: Building Deep Community in a Lonely World,Jennie Allen,2022,3.94,304
"Animal, Vegetable, Junk: A History of Food, from Sustainable to Suicidal: A Food Science Nutrition History Book",Mark Bittman,2021,3.9,384
Life Will Be the Death of Me: . . . and you too!,Chelsea Handler,2019,4.05,256
Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,Antonio García Martínez,2016,3.71,528
"The Cryptopians: Idealism, Greed, Lies, and the Making of the First Big Cryptocurrency Craze",Laura Shin,2022,3.69,496
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,2000,4.19,345
The Extended Mind: The Power of Thinking Outside the Brain,Annie Murphy Paul,2021,4.03,352
Contact,Carl Sagan,1997,4.15,580
"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",Sean Carroll,2016,4.18,480
Conversations with People Who Hate Me: 12 Things I Learned from Talking to Internet Strangers,Dylan Marron,2022,3.89,272
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,2021,4.28,536
Man Enough: Undefining My Masculinity,Justin Baldoni,2021,4.07,364
Gates of Fire,Steven Pressfield,2005,4.4,526
"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker",Molly Bloom,2014,3.84,272
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,2017,4.37,368
Cooked: A Natural History of Transformation,Michael Pollan,2013,4.08,468
Nöthin' But a Good Time: The Uncensored History of the '80s Hard Rock Explosion,Tom Beaujour,2021,4.08,535
"Work Won't Love You Back: How Devotion to Our Jobs Keeps Us Exploited, Exhausted, and Alone",Sarah  Jaffe,2021,3.94,432
The Metaverse: And How It Will Revolutionize Everything,Matthew L. Ball,2022,3.79,352
Little Fires Everywhere,Celeste Ng,2020,4.07,368
Sputnik Sweetheart,Haruki Murakami,2002,3.83,229
"Do More, Spend Less",Brad Wilson,2012,2.84,208
"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store",Cait Flanders,2018,3.46,189
At Home: A Short History of Private Life,Bill Bryson,2010,3.99,497
Forget the Alamo: The Rise and Fall of an American Myth,Bryan Burrough,2021,4.25,416
Fathoms: The World in the Whale,Rebecca Giggs,2020,3.88,352
Code Girls: The Untold Story of the American Women Code Breakers Who Helped Win World War II,Liza Mundy,2017,3.96,640
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,2019,4.15,352
Salt: A World History,Mark Kurlansky,2003,3.75,484
The Plot to Destroy Democracy: How Putin and his Spies are Undermining America and Dismantling the West,Malcolm W. Nance,2018,4.23,352
Outrageous Acts and Everyday Rebellions,Gloria Steinem,1995,4.19,432
Information Wars: How We Lost the Global Battle Against Disinformation and What We Can Do About It,Richard Stengel,2019,3.77,368
Mindf*ck: Cambridge Analytica and the Plot to Break America,Christopher Wylie,2019,4.36,288
Tools and Weapons: The Promise and the Peril of the Digital Age,Brad   Smith,2019,3.85,368
Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,2011,3.97,413
The State of Affairs: Rethinking Infidelity,Esther Perel,2017,4.36,352
Nomadland: Surviving America in the Twenty-First Century,Jessica Bruder,2018,4.02,288
"Ready Player One (Ready Player One, #1)",Ernest Cline,2011,4.22,480
"Ready Player Two (Ready Player One, #2)",Ernest Cline,2020,3.44,370
Shutdown: How Covid Shook the World's Economy,Adam Tooze,2021,3.83,368
The Personality Brokers: The Strange History of Myers-Briggs and the Birth of Personality Testing,Merve Emre,2018,3.25,307
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,2021,4.13,307
Tracers in the Dark: The Global Hunt for the Crime Lords of Cryptocurrency,Andy Greenberg,2022,4.49,367
Origins: Fourteen Billion Years of Cosmic Evolution,Neil deGrasse Tyson,2014,4.14,352
MBS: The Rise to Power of Mohammed bin Salman,Ben  Hubbard,2020,4.14,384
How Music Works,David   Byrne,2012,4,345
The Curious Case of Benjamin Button And Other Stories,F. Scott Fitzgerald,2007,3.37,3
"Being Peace (Being Peace, #1)",Thich Nhat Hanh,1987,4.32,115
Drown,Junot Díaz,1997,4.01,208
The Gifts of Imperfection,Brené Brown,2010,4.24,137
Bad Vibes Only (and Other Things I Bring to the Table),Nora McInerny,2022,3.83,224
You Are the Placebo: Making Your Mind Matter,Joe Dispenza,2014,4.25,348
The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,2018,4.37,320
The Mother Tongue: English and How It Got That Way,Bill Bryson,1991,3.91,270
The Brief Wondrous Life of Oscar Wao,Junot Díaz,2007,3.89,335
"While Justice Sleeps (Avery Keene, #1)",Stacey Abrams,2021,3.95,367
The Organized Mind: Thinking Straight in the Age of Information Overload,Daniel J. Levitin,2014,3.65,528
"Churchill, Hitler, and ""The Unnecessary War"": How Britain Lost Its Empire and the West Lost the World",Patrick J. Buchanan,2008,4.21,544
The 4-Hour Workweek,Timothy Ferriss,2007,3.91,308
"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,2017,4.05,383
Dignity in a Digital Age: Making Tech Work for All of Us,Ro Khanna,2022,3.71,368
Hate Inc.: Why Today's Media Makes Us Despise One Another,Matt Taibbi,2019,4.09,380
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,2010,3.92,394
Me,Elton John,2019,4.32,374
Think and Grow Rich,Napoleon Hill,2016,4.16,233
The Socrates Express: In Search of Life Lessons from Dead Philosophers,Eric    Weiner,2020,4.14,352
The Third Chimpanzee: The Evolution and Future of the Human Animal,Jared Diamond,2006,4.09,407
"Hoax: Donald Trump, Fox News, and the Dangerous Distortion of Truth",Brian Stelter,2020,4.07,350
Promises to Keep: On Life and Politics,Joe Biden,2007,3.97,365
Persist,Elizabeth Warren,2021,4.34,320
If Then: How the Simulmatics Corporation Invented the Future,Jill Lepore,2020,3.72,432
Noise: A Flaw in Human Judgment,Daniel Kahneman,2021,3.67,454
For the Love of Men: A New Vision for Mindful Masculinity,Liz Plank,2019,4.27,325
Boys Adrift: The Five Factors Driving the Growing Epidemic of Unmotivated Boys and Underachieving Young Men,Leonard Sax,2007,4.18,288
"Rock Concert: An Oral History as Told by the Artists, Backstage Insiders, and Fans Who Were There",Marc Myers,2021,3.77,400
Bittersweet: How Sorrow and Longing Make Us Whole,Susan Cain,2022,3.96,310
Born Standing Up: A Comic's Life,Steve  Martin,2007,3.88,207
Chasing History: A Kid in the Newsroom,Carl Bernstein,2022,4.18,384
"The Bond King: How One Man Made a Market, Built an Empire, and Lost it All",Mary  Childs,2022,3.8,336
Your Money or Your Life: 9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence,Joe Domínguez,2018,3.98,12
Waking the Tiger: Healing Trauma,Peter A. Levine,1997,4.06,288
The Seat of the Soul,Gary Zukav,2012,4.03,256
Sea of Tranquility,Emily St. John Mandel,2022,4.05,259
No Happy Endings,Nora McInerny Purmort,2019,4.21,288
The Hot Young Widows Club: Lessons on Survival from the Front Lines of Grief (TED Books),Nora McInerny Purmort,2019,4.49,112
The Nineties,Chuck Klosterman,2022,3.87,370
English Grammar Boot Camp,Anne Curzan,2016,3.93,
"How to Lead: Wisdom from the World's Greatest CEOs, Founders, and Game Changers",David M. Rubenstein,2020,3.85,445
The Spiritual Brain: Science and Religious Experience (Great Courses),Andrew B. Newberg,2012,3.57,0
Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski,2015,4.28,400
Strategic Thinking Skills,Stanley K. Ridgley,2015,3.75,12
"How the World Really Works: A Scientist's Guide to Our Past, Present and Future",Vaclav Smil,2022,3.95,326
Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One,Joe Dispenza,2012,4.13,329
Coined: The Rich Life of Money and How Its History Has Shaped Us,Kabir Sehgal,2015,3.47,336
